OBJECTID,ID,NAME,STATE_NAME,ST_ABBREV,AREA,ACSTOTPOP,ACSTOTHH,ACSMEDHINC,ACSAVGHINC,ACSPCI,Shape_Length,Shape_Area,DenstiySqmi,DiffIncome,NameLong,NameShort,NameArea,IncomeLevel,VertexCount
80,17129,Menard County,Illinois,IL,315.45575,12702,5056,56230,64720,26281,196953.73286083972,1395044988.9661303,40.2655523001245,8490.0,"Menard County, Illinois",Menard,Menard County (Area: 315.45575 SqMi),Middle Income,1937
81,17131,Mercer County,Illinois,IL,568.69159,16551,6862,50909,61261,25332,215888.99749876457,2604496435.1290874,29.10364825335293,10352.0,"Mercer County, Illinois",Mercer,Mercer County (Area: 568.69159 SqMi),Middle Income,1158
82,17141,Ogle County,Illinois,IL,762.98245,53578,20669,55733,63538,24959,267519.62901390804,3585559202.55154,70.22179867964198,7805.0,"Ogle County, Illinois",Ogle,Ogle County (Area: 762.98245 SqMi),Middle Income,1126
83,17143,Peoria County,Illinois,IL,630.59667,185108,75011,49747,68043,28157,237703.9250092712,2851966665.999816,293.544207900749,18296.0,"Peoria County, Illinois",Peoria,Peoria County (Area: 630.59667 SqMi),Middle Income,1463
84,17147,Piatt County,Illinois,IL,439.4603,16708,6555,55752,66150,26492,197159.05381918803,1942483380.7446623,38.01936147588303,10398.0,"Piatt County, Illinois",Piatt,Piatt County (Area: 439.4603 SqMi),Middle Income,863
85,17155,Putnam County,Illinois,IL,172.22282,5982,2535,56458,65510,27004,131637.19245615296,788724889.2208076,34.73407298754021,9052.0,"Putnam County, Illinois",Putnam,Putnam County (Area: 172.22282 SqMi),Middle Income,653
86,17161,Rock Island County,Illinois,IL,451.28619,147524,60454,46226,59694,25071,312997.8627296721,2083377034.8393085,326.896774749522,13468.0,"Rock Island County, Illinois",Rock Island,Rock Island County (Area: 451.28619 SqMi),Middle Income,2477
87,17169,Schuyler County,Illinois,IL,441.3295,7527,3008,43686,48718,20649,244222.90780595786,1959146291.8960843,17.05528409045849,5032.0,"Schuyler County, Illinois",Schuyler,Schuyler County (Area: 441.3295 SqMi),Middle Income,1256
88,17175,Stark County,Illinois,IL,288.35169,6086,2411,49195,64295,25311,153981.04827410882,1316125404.4188032,21.10617073199744,15100.0,"Stark County, Illinois",Stark,Stark County (Area: 288.35169 SqMi),Middle Income,800
89,17177,Stephenson County,Illinois,IL,565.05579,47791,19645,43304,53303,22608,208699.0753119592,2681334745.763771,84.57748924225695,9999.0,"Stephenson County, Illinois",Stephenson,Stephenson County (Area: 565.05579 SqMi),Middle Income,944
90,17179,Tazewell County,Illinois,IL,657.93346,133863,53727,54232,66170,27036,257062.99067115245,2950875940.639072,203.459784519851,11938.0,"Tazewell County, Illinois",Tazewell,Tazewell County (Area: 657.93346 SqMi),Middle Income,1436
91,17187,Warren County,Illinois,IL,543.04969,17745,6878,41636,49784,20047,204876.64785215186,2460493508.8517256,32.676567774120265,8148.0,"Warren County, Illinois",Warren,Warren County (Area: 543.04969 SqMi),Middle Income,1572
92,17195,Whiteside County,Illinois,IL,696.52371,58750,23599,45266,57047,23405,245140.8590486363,3244235920.075144,84.34745171847774,11781.0,"Whiteside County, Illinois",Whiteside,Whiteside County (Area: 696.52371 SqMi),Middle Income,1815
93,17197,Will County,Illinois,IL,849.2227,667977,220135,75906,88746,29811,317158.58362916304,3917796899.774202,786.5745934488091,12840.0,"Will County, Illinois",Will,Will County (Area: 849.2227 SqMi),High Income,2691
94,17201,Winnebago County,Illinois,IL,519.24826,293972,112466,47198,60594,24008,206928.38560209732,2462763067.815538,566.1492250354388,13396.0,"Winnebago County, Illinois",Winnebago,Winnebago County (Area: 519.24826 SqMi),Middle Income,1392
95,17203,Woodford County,Illinois,IL,542.63966,38226,14192,65890,77920,29475,229441.58139621097,2454171070.5749803,70.44453772508997,12030.0,"Woodford County, Illinois",Woodford,Woodford County (Area: 542.63966 SqMi),High Income,1417
96,17023,Clark County,Illinois,IL,504.81604,16545,6747,43597,56184,23173,214015.48025824956,2188399039.013215,32.77431517429597,12587.0,"Clark County, Illinois",Clark,Clark County (Area: 504.81604 SqMi),Middle Income,1068
97,17033,Crawford County,Illinois,IL,445.81721,19864,7819,41434,53453,21545,211006.14642797684,1914683213.116856,44.55637771363739,12019.0,"Crawford County, Illinois",Crawford,Crawford County (Area: 445.81721 SqMi),Middle Income,1306
98,17045,Edgar County,Illinois,IL,623.99363,18776,7877,39904,51554,22175,222815.86391103768,2731820133.8653064,30.090050759011753,11650.0,"Edgar County, Illinois",Edgar,Edgar County (Area: 623.99363 SqMi),Middle Income,936
99,17075,Iroquois County,Illinois,IL,1118.92264,30068,11835,47323,58812,23400,284924.9766922831,5054345524.114567,26.872277783207604,11489.0,"Iroquois County, Illinois",Iroquois,Iroquois County (Area: 1118.92264 SqMi),Middle Income,1370
100,17101,Lawrence County,Illinois,IL,374.13715,16849,6300,38771,48142,19297,172613.09779330337,1594206993.4603674,45.03428756005652,9371.0,"Lawrence County, Illinois",Lawrence,Lawrence County (Area: 374.13715 SqMi),Middle Income,1148
101,17183,Vermilion County,Illinois,IL,901.27404,82033,32236,39456,49207,20218,277482.82038287446,4003955549.890051,91.01893137851835,9751.0,"Vermilion County, Illinois",Vermilion,Vermilion County (Area: 901.27404 SqMi),Middle Income,1480
102,17185,Wabash County,Illinois,IL,227.50463,12141,4901,46026,57487,23350,217911.5311077595,962097048.3280469,53.36594688204807,11461.0,"Wabash County, Illinois",Wabash,Wabash County (Area: 227.50463 SqMi),Middle Income,1847
